setting,shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
transport_logistics4_small_cnn_shot16,16,42,baseline_cnn,,0.58084147977765,0.2936033722112615,0.2936033722112615,0.5287785780656676,0.8043246820814818,50.070359333069064,6,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,42,hybrid_control,,0.6066225800268353,0.5788996110961171,0.5788996110961171,0.6157631619341574,0.8285134901879542,58.09949016699102,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,42,hybrid_no_entanglement,no_entanglement,0.735288479969331,0.6726805569135726,0.6726805569135726,0.744206131146684,0.8849544084435765,137.02232758305036,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.646540157178455,0.6084325652768486,0.6084325652768486,0.6576195311053117,0.8566657646762035,349.9977452500025,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,43,baseline_cnn,,0.698821161587119,0.3731589601445071,0.3731589601445071,0.6375686575116133,0.8266600582576863,54.887449332978576,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,43,hybrid_control,,0.5647881924477669,0.3112736408702354,0.3112736408702354,0.4925961700800844,0.8232684946439863,57.58121570805088,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,43,hybrid_no_entanglement,no_entanglement,0.5035940195514663,0.27245657180922683,0.27245657180922683,0.4577022249105226,0.8379195470054758,118.68631491693668,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.4985144719187272,0.5091492325841287,0.5091492325841287,0.46828387592710985,0.8799430215154668,357.2887135419296,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,44,baseline_cnn,,0.36658999424956873,0.2918685944357178,0.2918685944357178,0.22992101517308622,0.8522314008898539,58.648345625028014,6,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,44,hybrid_control,,0.45715928694652097,0.47964441950180475,0.47964441950180475,0.38224497181396205,0.8994464718144081,67.03074175002985,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,44,hybrid_no_entanglement,no_entanglement,0.5957446808510638,0.6052032041987477,0.6052032041987477,0.5944457182825967,0.9094526048236122,140.9745968329953,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6167337550316274,0.6190175664394678,0.6190175664394678,0.6262911550235536,0.9102354188253174,356.10547904099803,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,45,baseline_cnn,,0.4161874640598045,0.22151205202705557,0.22151205202705557,0.35849858133648443,0.7819381741379408,51.3233045830857,4,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,45,hybrid_control,,0.30764807360552043,0.11971907241195133,0.11971907241195133,0.1501881335976651,0.7181002970498087,50.45710145798512,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,45,hybrid_no_entanglement,no_entanglement,0.6431378186697335,0.5894505853381267,0.5894505853381267,0.6782487046271126,0.8805778543883593,141.17838433291763,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6712670116925437,0.5832717464183746,0.5832717464183746,0.6934654549325817,0.876931560744309,312.65093200001866,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,46,baseline_cnn,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7447476466485365,46.68590120901354,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,46,hybrid_control,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7702628478374158,58.82810124999378,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,46,hybrid_no_entanglement,no_entanglement,0.45332566609162356,0.48335377246554423,0.48335377246554423,0.39324315475113575,0.8722537789813054,140.4450102080591,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.39337741997316467,0.19401444191787676,0.19401444191787676,0.30122781268462595,0.831047070909898,298.4722919999622,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,47,baseline_cnn,,0.2924094307073031,0.214668017977873,0.214668017977873,0.21347800643159995,0.7641938572657534,55.279597333981656,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,47,hybrid_control,,0.34981790300939236,0.2353752264118805,0.2353752264118805,0.21000211365701876,0.7695461074193002,59.27254766691476,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,47,hybrid_no_entanglement,no_entanglement,0.5391987732413265,0.5361467177699946,0.5361467177699946,0.5174705836426071,0.8799637580120772,141.52040566701908,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.35115967030860645,0.2523789465035743,0.2523789465035743,0.2120641316316646,0.7442957983614102,295.104385750019,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,48,baseline_cnn,,0.6326432815794518,0.3407525874571504,0.3407525874571504,0.5799840803498391,0.7394235058849205,51.73217099998146,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,48,hybrid_control,,0.29475752348092776,0.2942269949360885,0.2942269949360885,0.237320646746,0.8554014567809991,65.50907949998509,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,48,hybrid_no_entanglement,no_entanglement,0.34521755798351544,0.3623841789629659,0.3623841789629659,0.3272397648477559,0.8431877212002565,140.54676033300348,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot16,16,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.3978819244776692,0.4154518799422858,0.4154518799422858,0.4376474605852393,0.8306557506214582,326.91904695809353,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,42,baseline_cnn,,0.6079164270653632,0.3281153549411686,0.3281153549411686,0.5675016162520112,0.8706008229144284,56.20203383406624,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,42,hybrid_control,,0.7510063254744106,0.6922273948679266,0.6922273948679266,0.7572658482331017,0.890206297980744,68.09849733300507,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,42,hybrid_no_entanglement,no_entanglement,0.786467318382212,0.7169178596496055,0.7169178596496055,0.7910403530370959,0.9050676593130415,154.22701191704255,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.688709986582327,0.6260189978837323,0.6260189978837323,0.708864651040911,0.888652638318441,438.73333133291453,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,43,baseline_cnn,,0.5706344642514856,0.3092289008059371,0.3092289008059371,0.5269426483917762,0.8321914101486609,54.82217745797243,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,43,hybrid_control,,0.6695418823078397,0.5983990514492984,0.5983990514492984,0.6976121891226975,0.9030383786531724,71.14132091600914,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,43,hybrid_no_entanglement,no_entanglement,0.6847805252060571,0.6141534008295594,0.6141534008295594,0.70685080677795,0.9077449652779334,158.70453258405905,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6905788767490895,0.6243478347087994,0.6243478347087994,0.711381562107365,0.9049467387261289,437.2063365000067,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,44,baseline_cnn,,0.3559516963772283,0.280725546561494,0.280725546561494,0.22180558586829335,0.8618832764692901,57.763078665942885,4,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,44,hybrid_control,,0.62037569484378,0.5800681870917278,0.5800681870917278,0.6293408801244248,0.910966926500187,65.88856391701847,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,44,hybrid_no_entanglement,no_entanglement,0.717270461951313,0.6430969676462438,0.6430969676462438,0.7376407310584144,0.9177001512429702,158.12815637502354,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7009296530573126,0.6212492322033231,0.6212492322033231,0.7285120254450541,0.918020388172081,437.04651229199953,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,baseline_cnn,,0.7555587502396013,0.7254759824628001,0.7254759824628001,0.7610269092866601,0.915845191377709,63.993111334042624,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_control,,0.7230208932336591,0.6451990843768518,0.6451990843768518,0.7387878394078444,0.916188132758997,65.88489566708449,4,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_no_entanglement,no_entanglement,0.7041882307839754,0.6196654557818515,0.6196654557818515,0.7276147357217452,0.9154645882009793,142.6094816250261,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7119513130151428,0.6185035813312267,0.6185035813312267,0.7232730911717152,0.9219008735583513,383.33963054209016,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,baseline_cnn,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7830968670324023,56.76907000003848,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_control,,0.6468276787425724,0.5668542441125686,0.5668542441125686,0.6633380585612367,0.8863835853395006,73.19906100002117,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_no_entanglement,no_entanglement,0.6208548974506422,0.5637680191250443,0.5637680191250443,0.6444766223872264,0.862380758356997,160.78556520794518,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6557887674908951,0.5941752152459259,0.5941752152459259,0.6730931394067052,0.8963323368391397,438.72334562498145,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,baseline_cnn,,0.33889208357293465,0.2239312523423653,0.2239312523423653,0.19927100154515254,0.8066710966676686,54.5449114999501,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_control,,0.6313973548016101,0.5681550989841533,0.5681550989841533,0.6631185243660928,0.9102645258109365,63.85301687498577,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_no_entanglement,no_entanglement,0.6288575809852406,0.5650060938519573,0.5650060938519573,0.6675719740445696,0.9025799168289934,141.69317766604945,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6633601686793176,0.5905030785074132,0.5905030785074132,0.6965810608489938,0.9096848461291158,405.36729862506036,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,baseline_cnn,,0.5443262411347518,0.529513731168547,0.529513731168547,0.5371338702421632,0.8887771434486587,54.027917791041546,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_control,,0.6415564500670884,0.5730698916819291,0.5730698916819291,0.6794672005506847,0.9012059642824517,62.872160500031896,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_no_entanglement,no_entanglement,0.6385374736438566,0.5668649853092238,0.5668649853092238,0.6709107253009241,0.8885820418034525,139.30081491707824,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6361893808702319,0.562038710725319,0.562038710725319,0.6733124582006845,0.8898285254340308,425.7579605419887,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,baseline_cnn,,0.7382116158711903,0.6540883211261942,0.6540883211261942,0.7555057448023007,0.918080272810143,67.8227251250064,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_control,,0.7383074563925628,0.6592070930679568,0.6592070930679568,0.7573593984042741,0.9207582931205331,77.48795866698492,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_no_entanglement,no_entanglement,0.740559708644815,0.6627491990486164,0.6627491990486164,0.7630066722993891,0.910762523527754,137.34499145892914,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7375407322215833,0.6586125961216056,0.6586125961216056,0.754029032023447,0.918139728885723,504.17847312497906,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,baseline_cnn,,0.7762603028560475,0.7117218455812996,0.7117218455812996,0.7848340731951433,0.9313985558004367,67.79380620794836,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_control,,0.7728100440866398,0.7054926423194314,0.7054926423194314,0.782536776741759,0.9323144384696598,75.55920395802241,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_no_entanglement,no_entanglement,0.7777937511980065,0.7095874289910875,0.7095874289910875,0.7866943888005916,0.9363340890998022,187.10650424996857,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7724746022618363,0.7052578060762056,0.7052578060762056,0.7827101628437853,0.9331876123560909,554.1405454999767,6,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,baseline_cnn,,0.713532681617788,0.6542034470790192,0.6542034470790192,0.724063204503712,0.9219694101010548,67.86337595793884,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_control,,0.7474123059229443,0.67098065934419,0.67098065934419,0.7609952028824668,0.9224840284490994,77.5459548329236,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_no_entanglement,no_entanglement,0.7467414222733372,0.6692482223352086,0.6692482223352086,0.761954070423586,0.9218138477550137,194.03546054207254,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7421410772474603,0.6664931501819027,0.6664931501819027,0.7566649032185588,0.9204853940071909,606.0781086250208,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,45,baseline_cnn,,0.7451121334100057,0.7223599486368225,0.7223599486368225,0.7508147292354821,0.9287628048235006,59.975953500019386,8,4,"airplane,ship,vehicle,harbor"
